0:2:1:1:32:5	Leaf terminal cluster 0:2:1:1:32:5	Leaf terminal cluster 0:2:1:1:32:5
0:2:1:1:280	Leaf terminal cluster 0:2:1:1:280	Leaf terminal cluster 0:2:1:1:280
0:2:1:1:144	Leaf terminal cluster 0:2:1:1:144	Leaf terminal cluster 0:2:1:1:144
0:155	Leaf terminal cluster 0:155	Leaf terminal cluster 0:155
0:1:10:4	Leaf terminal cluster 0:1:10:4	Leaf terminal cluster 0:1:10:4
0:1:3:97	Leaf terminal cluster 0:1:3:97	Leaf terminal cluster 0:1:3:97
0:1:4:74	Leaf terminal cluster 0:1:4:74	Leaf terminal cluster 0:1:4:74
0:2:1:1:269:1	Leaf terminal cluster 0:2:1:1:269:1	Leaf terminal cluster 0:2:1:1:269:1
0:2:2:1:1:51	Leaf terminal cluster 0:2:2:1:1:51	Leaf terminal cluster 0:2:2:1:1:51
0:1:2:159	Leaf terminal cluster 0:1:2:159	Leaf terminal cluster 0:1:2:159
0:2:2:9:4:1	Leaf terminal cluster 0:2:2:9:4:1	Leaf terminal cluster 0:2:2:9:4:1
0:2:2:21:6	Leaf terminal cluster 0:2:2:21:6	Leaf terminal cluster 0:2:2:21:6
0:2:2:2:35	Leaf terminal cluster 0:2:2:2:35	Leaf terminal cluster 0:2:2:2:35
0:322	Leaf terminal cluster 0:322	Leaf terminal cluster 0:322
0:195	Leaf terminal cluster 0:195	Leaf terminal cluster 0:195
0:2:1:1:137	Leaf terminal cluster 0:2:1:1:137	Leaf terminal cluster 0:2:1:1:137
0:1:7:44	Leaf terminal cluster 0:1:7:44	Leaf terminal cluster 0:1:7:44
0:1:1:31	Leaf terminal cluster 0:1:1:31	Leaf terminal cluster 0:1:1:31
0:2:2:3:44	Leaf terminal cluster 0:2:2:3:44	Leaf terminal cluster 0:2:2:3:44
0:1:8:4:4	Leaf terminal cluster 0:1:8:4:4	Leaf terminal cluster 0:1:8:4:4
0:2:2:6:1:3	Leaf terminal cluster 0:2:2:6:1:3	Leaf terminal cluster 0:2:2:6:1:3
0:2:1:1:339	Leaf terminal cluster 0:2:1:1:339	Leaf terminal cluster 0:2:1:1:339
0:2:2:20:4	Leaf terminal cluster 0:2:2:20:4	Leaf terminal cluster 0:2:2:20:4
0:1:2:16	Leaf terminal cluster 0:1:2:16	Leaf terminal cluster 0:1:2:16
0:1:7:18	Leaf terminal cluster 0:1:7:18	Leaf terminal cluster 0:1:7:18
